track_name,streams,URL
"Heat Waves",30110762,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
abcdefu,29996505,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
"STAY (with Justin Bieber)",28725287,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
"Enemy (with JID) - from the series Arcane League of Legends",26128077,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
"Easy On Me",24867915,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
"Cold Heart - PNAU Remix",24577621,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
"INDUSTRY BABY (feat. Jack Harlow)",23639289,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
"We Don't Talk About Bruno",21609396,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
Shivers,19283874,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
"Do It To It",17368998,https://open.spotify.com/track/20on25jryn53hWghthWWW3